Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
,,,,,,,,,,,Failure,Failure,"No attempt
",No attempt,"No attempt
",Uncontrolled,No attempt,No attempt,Controlled,Controlled,No attempt,"No attempt
",Uncontrolled,Failure ,Controlled,No attempt,Failure,No attempt,Precluded,Success,Failure,Failure,Success,Success,Success,Failure,Success,Success,Success,Success,No attempt,Success,Success,No attempt,Success,Success,Success,No attempt,Success,Success,Success,Success,Success,Success,Success,Controlled,Success,Controlled,No attempt,No attempt,No attempt,No attempt,Success,Success,No attempt,No attempt,No attempt,Success,Success,Success,Success,Success,Success,Success,Failure,No attempt,Success,Success,Success,Success,Success,Success,Success,No attempt,Success,Success,Success,Success,"No attempt
",Success,Failure,Success,Failure,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,
,,,,,,,,,,,SpaceX,NASA,NASA,NASA,NASA,MDA,SES,Thaicom,NASA,Orbcomm,AsiaSat,AsiaSat,NASA,NASA,USAF,ABS,NASA,,NASA,Orbcomm,NASA,SES,NASA,SKY Perfect JSAT Group,Thaicom,ABS,NASA,SKY Perfect JSAT Group,Iridium Communications,NASA,EchoStar,SES,NRO,Inmarsat,NASA,Bulsatcom,Iridium Communications,Intelsat,NASA,NSPO,USAF,Iridium Communications,SES S.A.,KT Corporation,NASA,Iridium Communications,Northrop Grumman,SES,Hisdesat,Hispasat,Iridium Communications,NASA,NASA,Thales-Alenia,Iridium Communications,SES,NASA,Telesat,Iridium Communications,Telkom Indonesia,Telesat,CONAE,Es'hailSat,Spaceflight Industries,NASA,USAF,Iridium Communications,PSN,NASA,NASA,SpaceX,Canadian Space Agency,NASA,Spacecom,SpaceX,NASA,Sky Perfect JSAT,SpaceX,NASA,SpaceX,SpaceX,NASA,SpaceX,SpaceX,NASA,SpaceX,SpaceX,U.S. Space Force,Republic of Korea Army,SpaceX,SpaceX,CONAE,SpaceX,SpaceX,SpaceX,SpaceX,USSF,NASA,NASA,SpaceX,NASA,Sirius XM,NRO,Türksat,SpaceX,
,,,,,,,,,,,4 June 2010,8 December 2010,22 May 2012,8 October 2012,1 March 2013,29 September 2013,3 December 2013,6 January 2014,18 April 2014,14 July 2014,5 August 2014,7 September 2014,21 September 2014,10 January 2015,11 February 2015,2 March 2015,14 April 2015,27 April 2015,28 June 2015,22 December 2015,17 January 2016,4 March 2016,8 April 2016,6 May 2016,27 May 2016,15 June 2016,18 July 2016,14 August 2016,14 January 2017,19 February 2017,16 March 2017,30 March 2017,1 May 2017,15 May 2017,3 June 2017,23 June 2017,25 June 2017,5 July 2017,14 August 2017,24 August 2017,7 September 2017,9 October 2017,11 October 2017,30 October 2017,15 December 2017,23 December 2017,8 January 2018,31 January 2018,22 February 2018,6 March 2018,30 March 2018,2 April 2018,18 April 2018,11 May 2018,22 May 2018,4 June 2018,29 June 2018,22 July 2018,25 July 2018,7 August 2018,10 September 2018,8 October 2018,15 November 2018,3 December 2018,5 December 2018,23 December 2018,11 January 2019,22 February 2019,2 March 2019,4 May 2019,24 May 2019,12 June 2019,25 July 2019,6 August 2019,11 November 2019,5 December 2019,17 December 2019,7 January 2020,19 January 2020,29 January 2020,17 February 2020,7 March 2020,18 March 2020,22 April 2020,30 May 2020,4 June 2020,13 June 2020,30 June 2020,20 July 2020,7 August 2020,18 August 2020,30 August 2020,3 September 2020,6 October 2020,18 October 2020,24 October 2020,5 November 2020,16 November 2020,21 November 2020,25 November 2020,6 December 2020,13 December 2020,19 December 2020,8 January 2021,20 January 2021,24 January 2021
,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
,,,,,,,,,,,"Success
",Success,Success,"Success
","Success
",Success,Success,Success,"Success
",Success,Success,Success,Success,Success,"Success
","Success
","Success
","Success
",Failure,"Success
","Success
","Success
",Success,"Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
",Success,"Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
",Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,"Success
",Success,"Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
","Success
",
,,,,,,,,,,,CCAFS,CCAFS,CCAFS,CCAFS,CCAFS,VAFB,CCAFS,CCAFS,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,VAFB,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,Cape Canaveral,VAFB,KSC,KSC,KSC,KSC,KSC,KSC,KSC,VAFB,KSC,KSC,VAFB,KSC,VAFB,KSC,KSC,Cape Canaveral,VAFB,CCAFS,CCAFS,VAFB,CCAFS,VAFB,CCAFS,CCAFS,KSC,VAFB,CCAFS,CCAFS,CCAFS,VAFB,CCAFS,CCAFS,VAFB,KSC,VAFB,CCAFS,CCAFS,VAFB,CCAFS,KSC,CCAFS,CCAFS,VAFB,CCAFS,CCAFS,CCAFS,CCAFS,CCAFS,CCAFS,KSC,CCAFS,CCAFS,CCAFS,KSC,KSC,KSC,CCAFS,CCAFS,CCAFS,CCAFS,KSC,CCAFS,CCAFS,KSC,KSC,KSC,CCAFS,CCAFS,KSC,VAFB,CCAFS,KSC,CCSFS,KSC,CCSFS,KSC,CCSFS
,,,,,,,,,,,LEO,LEO,LEO,LEO,LEO,Polar orbit,GTO,GTO,LEO,LEO,GTO,GTO,LEO,LEO,HEO,GTO,LEO,GTO,LEO,LEO,LEO,GTO,LEO,GTO,GTO,GTO,LEO,GTO,Polar,LEO,GTO,GTO,LEO,GTO,LEO,GTO,LEO,GTO,LEO,SSO,LEO,Polar,GTO,GTO,LEO,Polar,LEO,GTO,SSO,GTO,Polar,LEO,HEO,GTO,Polar,GTO,LEO,GTO,Polar,GTO,GTO,SSO,GTO,SSO,LEO,MEO,Polar,GTO,LEO,LEO,LEO,SSO,LEO,GTO,LEO,LEO,GTO,LEO,Sub-orbital,LEO,LEO,LEO,LEO,LEO,LEO,LEO,LEO,MEO,GTO,LEO,LEO,SSO,LEO,LEO,LEO,LEO,MEO,LEO,LEO,LEO,LEO,GTO,LEO,GTO,LEO,SSO
,,,,,,,,,,,Dragon Spacecraft Qualification Unit,Dragon,Dragon,SpaceX CRS-1,SpaceX CRS-2,CASSIOPE,SES-8,Thaicom 6,SpaceX CRS-3,Orbcomm-OG2,AsiaSat 8,AsiaSat 6,SpaceX CRS-4,SpaceX CRS-5,DSCOVR,ABS-3A,SpaceX CRS-6,TürkmenÄlem 52°E / MonacoSAT,SpaceX CRS-7,Orbcomm-OG2,Jason-3,SES-9,SpaceX CRS-8,JCSAT-14,Thaicom 8,ABS-2A,SpaceX CRS-9,JCSAT-16,Iridium NEXT,SpaceX CRS-10,EchoStar 23,SES-10,NROL-76,Inmarsat-5 F4,SpaceX CRS-11,BulgariaSat-1,Iridium NEXT,Intelsat 35e,SpaceX CRS-12,Formosat-5,Boeing X-37B,Iridium NEXT,SES-11,Koreasat 5A,SpaceX CRS-13,Iridium NEXT,Zuma,GovSat-1,Paz,Hispasat 30W-6,Iridium NEXT,SpaceX CRS-14,Transiting Exoplanet Survey Satellite,Bangabandhu-1,Iridium NEXT,SES-12,SpaceX CRS-15,Telstar 19V,Iridium NEXT,Merah Putih,Telstar 18V,SAOCOM 1A,Es'hail 2,SSO-A,SpaceX CRS-16,GPS III,Iridium NEXT,Nusantara Satu,Crew Dragon Demo-1,SpaceX CRS-17,Starlink,RADARSAT Constellation,SpaceX CRS-18,AMOS-17,Starlink,SpaceX CRS-19,JCSat-18,Starlink,Crew Dragon in-flight abort test,Starlink,Starlink,SpaceX CRS-20,Starlink,Starlink,Crew Dragon Demo-2,Starlink,Starlink,GPS III,ANASIS-II,Starlink,Starlink,SAOCOM 1B,Starlink,Starlink,Starlink,Starlink,GPS III,Crew-1,Sentinel-6 Michael Freilich (Jason-CS A),Starlink,SpaceX CRS-21,SXM-7,NROL-108,Türksat 5A,Starlink,Transporter-1
,,,,,,,,,,,0,0,525 kg,"4,700 kg","4,877 kg",500 kg,"3,170 kg","3,325 kg","2,296 kg","1,316 kg","4,535 kg","4,428 kg","2,216 kg","2,395 kg",570 kg,"4,159 kg","1,898 kg","4,707 kg","1,952 kg","2,034 kg",553 kg,"5,271 kg","3,136 kg","4,696 kg","3,100 kg","3,600 kg","2,257 kg","4,600 kg","9,600 kg","2,490 kg","5,600 kg","5,300 kg",C,"6,070 kg","2,708 kg","3,669 kg","9,600 kg","6,761 kg","3,310 kg",475 kg,"4,990 kg","9,600 kg","5,200 kg","3,500 kg","2,205 kg","9,600 kg",C,"4,230 kg","2,150 kg","6,092 kg","9,600 kg","2,647 kg",362 kg,"3,600 kg","6,460 kg","5,384 kg","2,697 kg","7,075 kg","9,600 kg","5,800 kg","7,060 kg","3,000 kg","5,300 kg","~4,000 kg","2,500 kg","4,400 kg","9,600 kg","4,850 kg","12,055 kg","2,495 kg","13,620 kg","4,200 kg","2,268 kg","6,500 kg","15,600 kg","2,617 kg","6,956 kg","15,600 kg","12,050 kg","15,600 kg","15,600 kg","1,977 kg","15,600 kg","15,600 kg","12,530 kg","15,600 kg","15,410 kg","4,311 kg","5,000–6,000 kg","14,932 kg","~15,440 kg","3,130 kg","15,600 kg","15,600 kg","15,600 kg","15,600 kg","4,311 kg","~12,500 kg","1,192 kg","15,600 kg","2,972 kg","7,000 kg",C,"3,500 kg","15,600 kg","~5,000 kg"
,,,,,,,,,,,18:45,15:43,07:44,00:35,15:10,16:00,22:41,22:06,19:25,15:15,08:00,05:00,05:52,09:47,23:03,03:50,20:10,23:03,14:21,01:29,18:42,23:35,20:43,05:21,21:39,14:29,04:45,05:26,17:54,14:39,06:00,22:27,11:15,23:21,21:07,19:10,20:25,23:38,16:31,18:51,14:00,12:37,22:53:00,19:34,15:36,01:27,01:00,21:25,14:17,05:33,14:14,20:30,22:51,20:14,19:47,04:45,09:42,05:50,11:39,05:18,04:45,02:22,20:46,18:34:05,18:16,13:51,15:31,01:45,07:49,06:48,02:30,14:17,22:01,23:23,14:56,17:29,00:10,02:19:21,15:30,14:07,15:05,04:50,12:16,19:30,19:22,01:25,09:21,20:10:46,21:30,05:12,14:31,23:18,12:46:14,11:29:34,12:25:57,15:31:34,23:24:23,00:27,17:17:08,02:13,16:17:08,17:30:00,14:00:00,02:15,13:02,15:00
,,,,,,,,,,,F9 v1.07B0003.18,F9 v1.07B0004.18,F9 v1.07B0005.18,F9 v1.07B0006.18,F9 v1.07B0007.18,F9 v1.17B10038,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 v1.1[,F9 FT[,F9 v1.1[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT[,F9 FT♺[,F9 FT[,F9 FT[,F9 FT[,F9 FTB1029.2195,F9 FT[,F9 FT[,F9 B4[,F9 FT[,F9 B4[,F9 B4[,F9 FTB1031.2220,F9 B4[,F9 FTB1035.2227,F9 FTB1036.2227,F9 B4[,F9 FTB1032.2245,F9 FTB1038.2268,F9 B4[,F9 B4B1041.2268,F9 B4B1039.2292,F9 B4[,F9 B5311B1046.1268,F9 B4B1043.2322,F9 B4B1040.2268,F9 B4B1045.2336,F9 B5,F9 B5349B1048[,F9 B5B1046.2354,F9 B5[,F9 B5B1048.2364,F9 B5B1047.2268,F9 B5B1046.3268,F9 B5[,F9 B5[,F9 B5B1049.2397,F9 B5B1048.3399,F9 B5[]413,F9 B5[,F9 B5B1049.3434,F9 B5B1051.2420,F9 B5B1056.2465,F9 B5B1047.3472,F9 B5,F9 B5[,F9 B5B1056.3482,F9 B5,F9 B5,F9 B5,F9 B5,F9 B5,F9 B5,F9 B5,F9 B5[,F9 B5,F9 B5,F9 B5,F9 B5B1058.2544,F9 B5,F9 B5B1049.6544,F9 B5,F9 B5B1060.2563,F9 B5B1058.3565,F9 B5B1051.6568,F9 B5,F9 B5,F9 B5[,F9 B5,F9 B5 ♺[,F9 B5 ♺[,F9 B5 ♺,F9 B5 ♺,F9 B5,F9 B5B1051.8609,F9 B5B1058.5613
